price,bedrooms,bathrooms,sqft_lot,floors,sqft_above,Scored Labels
195000.0,3,1.0,4350,1.5,1510,343096.7651214565
499950.0,4,2.25,8817,1.0,1460,513922.8258928742
375000.0,3,2.25,1557,3.0,1140,262107.38956308027
335000.0,4,1.0,6500,1.5,1480,308623.8307228575
550000.0,3,2.25,40887,1.0,1980,656275.4478382396
295000.0,2,1.75,6500,1.5,1050,353932.5520330052
490600.0,3,2.5,11447,2.0,3316,918220.2553556692
1288000.0,5,4.0,11358,2.0,2780,927672.8320983627
510000.0,3,1.5,10275,1.0,1540,463366.2342527554
425000.0,3,1.0,4160,1.5,1550,352814.0845680363
479900.0,3,2.0,12150,1.0,1980,633047.7481736792
540000.0,3,1.0,4160,1.0,1050,282904.99344865925
305000.0,2,1.0,7140,1.5,1210,296372.2337667349
708000.0,5,3.25,11778,2.0,3060,899157.6217310126
660500.0,4,2.25,9603,1.0,1440,508853.2128707096
304000.0,2,1.5,676,2.0,850,224580.89193048098
440000.0,4,2.5,10646,2.0,3080,834902.7509706111
331210.0,4,2.5,4800,2.0,2240,633841.8452664309
627000.0,3,2.0,10525,2.0,2310,611568.4968086181
427000.0,2,1.5,725,2.0,1100,284936.6511285389
750000.0,4,2.75,5497,2.0,2810,803275.0293077659
420000.0,3,2.5,1114,3.0,1509,383350.54327365523
598950.0,3,2.5,1531,3.0,1480,376220.23528745986
329000.0,2,2.5,1020,3.0,980,282206.88162533287
627500.0,4,2.5,11500,1.0,1640,588571.3895190579
322000.0,3,1.0,10181,1.0,960,259333.4020060757
449228.0,5,2.5,24750,1.0,1650,560369.0846331826
541100.0,4,2.25,9800,2.0,2510,665515.0546883675
167000.0,1,1.0,10235,1.5,780,218161.81638993192
532000.0,3,3.75,2050,2.0,1170,562870.4486551458
599999.0,9,4.5,6988,2.5,2450,756198.3806749198
585000.0,4,3.0,5100,2.0,3400,977871.8547591865
1600000.0,4,5.5,871200,2.0,6530,1789311.5136875939
620000.0,4,2.5,9185,2.0,2680,738755.626023652
215000.0,2,1.5,1312,2.0,1000,260609.16037102725
1780000.0,4,3.25,13402,2.0,4890,1367147.574560969
218500.0,2,1.0,8961,1.0,1390,390115.56873470533
1248000.0,2,2.5,3313,2.0,2310,704343.7705368064
562000.0,3,1.75,10530,1.0,1600,509778.08988656045
425000.0,3,2.25,997,2.5,1540,409703.84488419554
560000.0,4,1.75,6250,1.0,1060,354111.8854793624
509900.0,3,1.75,53578,1.0,1690,518369.55481325457
582800.0,4,2.75,7636,1.0,1440,573455.1752076554
1565000.0,4,2.75,12750,1.5,2130,687684.7746206033
661000.0,2,1.0,5800,1.0,1260,359687.80736370856
510000.0,3,2.0,11325,1.0,1420,498069.2010251483
593450.0,4,2.25,7172,2.0,2130,574553.8571005792
880000.0,6,2.5,3680,2.0,1760,465127.82519064477
600000.0,2,2.25,18919,2.0,2320,669993.5593247816
220000.0,5,2.5,10200,1.5,1760,540541.7807356587
450000.0,3,2.5,426452,2.0,2880,686238.1021614673
610750.0,4,2.25,7297,2.0,2180,586589.8398808124
453250.0,4,2.5,6300,2.0,2260,638213.5722665584
670000.0,4,2.5,9086,2.0,2570,712222.7333997551
2950000.0,4,3.5,23885,2.0,4860,1388703.4964535427
398950.0,4,3.0,10297,2.0,3000,879692.1291408711
479000.0,3,1.75,6018,1.0,1470,479762.7712171261
499000.0,2,1.75,2400,1.0,740,331156.8833835097
348000.0,4,2.5,7697,1.0,2120,705644.1749390664
1038000.0,5,2.75,8904,1.0,1650,597207.3934493028
340000.0,3,2.0,9879,2.0,1130,326815.92200754624
240000.0,3,1.75,8571,1.0,1270,430686.79896527476
230000.0,6,1.5,36509,1.5,2140,469698.4705647095
479000.0,2,2.5,1037,3.5,1730,412481.5011259285
320000.0,2,1.0,4000,1.0,950,285377.6332743754
299500.0,3,2.5,7163,2.0,2090,623470.1024053723
209977.0,3,1.0,6134,1.0,1170,311280.3017271294
272000.0,4,2.75,7350,1.0,1200,515586.59775277175
788000.0,4,2.5,8778,2.0,2680,738879.8778219761
158000.0,3,1.5,8925,1.0,990,330962.7914958443
568000.0,3,2.5,1279,3.0,1740,439082.71459501324
1500000.0,4,2.75,25697,1.0,2310,778031.4867184155
699950.0,4,2.0,7830,1.0,1180,414608.2082552684
525000.0,3,1.0,6800,1.0,1500,390766.32870549883
390000.0,3,2.0,16815,1.0,960,385311.05394117284
310000.0,3,1.75,10723,1.0,1220,417955.67774576857
521000.0,3,2.0,6000,1.0,1840,601117.6608368882
835000.0,3,2.5,6856,2.0,2960,833653.9250503283
1054690.0,4,3.5,3979,2.0,2610,851444.074615442
254000.0,3,2.5,4597,2.0,1850,566297.5792506828
230000.0,3,1.0,389126,1.5,1530,230459.32196315404
229900.0,3,1.75,7224,1.0,1100,390045.93210229673
597000.0,4,2.5,41338,2.0,2370,654080.0433139272
598000.0,4,2.5,40918,2.0,3130,837735.2473526192
320000.0,3,1.75,7225,1.0,1480,481809.1185701774
470000.0,3,3.5,11658,1.0,1370,677897.7853895533
430000.0,4,2.75,5249,2.0,2290,677779.6464969337
182000.0,3,1.0,18055,1.0,1160,305226.14698243374
795000.0,4,2.5,7798,2.0,2890,789890.462394479
340000.0,3,2.0,11620,1.0,1140,430363.936916941
469950.0,3,2.0,1357,3.0,1820,394376.0691946449
459000.0,3,1.75,7807,1.0,1260,428505.20948284364
930000.0,4,3.0,10400,1.0,1530,626345.5520154459
565000.0,5,3.25,20790,1.0,1800,693802.6462944853
240000.0,3,2.25,5818,1.0,1140,464135.9433685217
129000.0,2,1.0,5240,1.0,760,239117.33154947418
189900.0,2,1.0,4179,1.0,1000,297397.1305580252
210000.0,2,1.0,4700,2.0,1520,321144.4792246821
385000.0,3,1.0,4000,1.0,1070,287783.49682524416
734000.0,5,4.25,42755,2.0,2970,995970.2142901237
810000.0,4,3.5,209523,2.0,3980,1119525.7049425442
249000.0,3,1.0,8498,1.0,1050,281580.6585564477
812500.0,4,2.75,10300,1.0,1810,661990.5537339975
270000.0,3,2.25,7000,1.0,1990,669035.5362487533
730000.0,5,2.75,6593,2.0,2870,790857.325953038
431000.0,4,2.5,6087,2.0,2300,647937.913313535
250600.0,4,2.5,8660,1.0,1120,463867.3105442359
550000.0,3,2.25,9600,1.0,1220,482299.97787685314
2510000.0,3,3.25,57990,2.0,5480,1522582.4152814255
100000.0,2,1.0,22000,1.0,910,270223.1528249631
320000.0,3,1.75,66250,1.5,1790,487816.90018539
495000.0,3,2.0,12196,2.0,2310,611058.3622754493
705000.0,4,3.25,5339,2.5,2740,799588.5809962586
330600.0,1,1.0,1799,1.0,580,223272.98809300046
658000.0,3,1.5,3190,1.5,1660,443674.79182643414
750000.0,4,2.5,7465,2.0,3020,821384.8964518262
267500.0,2,1.0,12250,2.5,1747,322823.8293524288
500000.0,3,1.0,54315,1.0,790,204807.77828909282
863000.0,4,2.5,22370,2.0,4120,1082465.7544507931
410000.0,3,2.25,36704,1.0,1360,507833.08196528075
402500.0,3,3.25,4002,2.0,2780,887060.4912157422
640000.0,3,2.5,1377,2.0,1100,386168.44852690224
420000.0,3,2.5,15375,2.0,2370,688578.2902277235
912000.0,4,3.75,4095,2.0,1980,731275.1827416287
270000.0,3,2.5,5015,2.0,1780,549266.1681829109
875000.0,5,3.25,21455,2.0,2720,814099.1828525555
600000.0,3,3.5,3290,2.0,1650,646402.9404366645
315000.0,3,2.5,1590,2.0,1150,398177.56605344394
529219.0,4,2.25,7610,1.0,1290,473239.2188535684
471750.0,5,3.5,8200,1.0,2120,806921.4600965213
175000.0,2,1.0,7000,1.0,1410,395543.8939510489
425000.0,3,2.5,14036,2.0,1800,551341.8318533192
1325000.0,4,2.5,37076,2.0,4010,1051413.0881802407
335000.0,3,1.5,15890,1.0,840,292614.03676767705
417000.0,2,1.75,4590,1.0,790,342562.4485629093
400000.0,4,3.0,7035,2.0,2240,697160.9917395979
895990.0,4,2.75,6565,2.0,3555,982853.7232339026
350000.0,3,2.5,4086,2.0,1730,537475.6361295881
872000.0,4,2.25,40284,2.0,2860,740727.6921436638
1570000.0,4,3.75,5850,2.0,2400,832162.2107790813
660000.0,4,2.5,4543,2.0,2510,699120.679739244
799500.0,4,2.5,5750,2.0,2760,759122.9166216769
472000.0,6,2.5,14034,1.0,2350,706106.4697576363
705000.0,2,2.5,6400,1.0,2300,802651.2117187257
260000.0,2,1.0,6771,1.0,820,253138.90957497872
265000.0,2,1.5,1458,2.0,920,241245.95862972966
205000.0,3,1.0,8240,1.0,1180,313052.196090762
281000.0,4,2.25,3600,2.0,1677,466252.60068417527
111300.0,2,1.0,6000,1.0,1060,311330.1753611367
515000.0,2,1.0,3300,1.0,970,290420.99161679577
750000.0,3,2.75,5401,1.0,1360,581390.942964725
430000.0,4,1.75,7724,1.0,1710,510625.7599554351
389800.0,3,1.75,12821,1.0,1880,576693.8818806002
676500.0,3,1.75,2446,1.0,880,338378.3611943669
603500.0,6,2.75,8400,1.0,1550,546640.8895663514
450000.0,4,2.5,8515,2.0,2520,700322.9086098229
219000.0,3,1.5,9600,1.0,1060,347660.52390128636
185000.0,3,1.75,9085,1.0,1170,406381.5941568483
466200.0,3,1.5,8856,1.0,1340,415502.8618607161
705000.0,4,2.25,10536,1.0,1520,527887.00996731
295000.0,3,2.5,4102,2.0,1690,527811.4366164441
440000.0,3,2.5,1032,3.0,1040,270120.10935017094
885000.0,4,3.5,6000,2.0,2200,751819.111695427
438000.0,2,1.0,6380,1.0,1120,325703.13869344967
1850000.0,4,3.25,1880,2.0,1830,631727.4995731225
415000.0,3,1.0,6083,1.0,860,236436.18072067352
561000.0,4,2.5,5395,2.0,2550,708519.8901591562
950000.0,3,2.5,8448,2.0,3080,862145.8529527783
215000.0,2,1.0,5325,1.0,1120,326025.2164507764
372400.0,3,2.5,11937,2.0,2720,774146.8724072245
535500.0,3,2.5,4976,2.0,2050,614478.4500954424
638000.0,3,2.0,3729,1.0,970,391720.8680103097
374500.0,3,1.0,9531,1.0,960,259531.83853902578
525000.0,3,2.25,9414,2.0,1490,445892.44617419236
499000.0,3,1.0,6250,1.0,910,248459.34144800858
392000.0,3,1.0,6125,1.0,790,219519.5575550389
440000.0,3,2.5,6302,2.0,2290,672029.5290976057
248000.0,3,1.0,8800,1.0,1090,291147.7768119329
814000.0,4,2.5,8820,1.0,1420,536263.32654016
468000.0,4,2.5,20682,2.0,3040,822179.575980298
410000.0,4,2.25,8292,2.0,2200,591115.7368026937
334000.0,3,2.25,7225,2.0,2000,569716.9846097097
249950.0,3,1.5,6875,1.0,1450,442670.7513900532
296500.0,3,1.0,5100,1.0,1280,338159.08449230687
420000.0,4,2.25,12000,2.0,2030,548931.6442873115
475000.0,3,2.5,7586,2.0,1630,512258.8444174862
349950.0,3,2.5,7715,2.0,2140,635375.727647806
1450000.0,4,3.5,24603,2.0,4360,1267742.863886831
435000.0,3,1.75,13700,1.0,1630,516054.81637088425
398000.0,4,1.0,6458,1.0,1420,344980.0257935786
301000.0,2,1.0,9000,1.0,910,274191.88348396495
1950000.0,4,2.75,18745,2.0,2830,804060.2449400511
700000.0,2,1.5,4945,1.5,1850,515592.84027871815
1000000.0,3,3.0,3750,2.0,2220,719906.2832014705
762450.0,4,1.75,8640,1.0,2570,718021.3879010801
822500.0,5,3.5,4960,2.0,1720,609652.7498755616
451000.0,4,1.75,7800,1.0,1330,418839.06639057427
200000.0,3,2.0,7905,1.0,1430,501528.1112058305
650000.0,3,1.0,6750,1.0,920,250721.5266915148
487585.0,4,1.75,9211,1.0,1470,452215.9086960584
650000.0,4,1.75,5070,1.0,1300,412428.0136377919
1300000.0,5,4.0,7800,2.5,2966,922842.5121361369
315000.0,6,2.75,7350,1.0,1780,602502.5016878
259500.0,3,2.0,35060,1.0,1330,469089.7561292141
360000.0,4,2.5,5889,2.0,1900,551405.2109187052
2005000.0,6,4.5,28176,1.0,3810,1310359.9474498285
370000.0,2,2.5,1821,2.0,1180,431923.61216749804
425000.0,4,1.0,6095,1.5,1080,212154.32273159787
399000.0,3,2.5,3300,2.0,1690,528056.2767694071
705000.0,4,3.0,9318,2.0,3150,916213.4360440548
257000.0,3,1.75,9000,1.0,1200,413652.02974079136
420000.0,3,1.0,7300,1.0,1240,327828.13822845055
426000.0,2,1.0,11472,2.0,2230,490529.9156960702
805000.0,4,2.5,35225,2.0,2250,626968.3178198885
545000.0,4,2.5,11612,2.0,2755,756125.9100162454
414950.0,3,2.5,1551,3.0,1570,397947.5881215026
905000.0,4,3.25,7661,2.0,3440,1018750.0611706977
695000.0,2,2.5,7665,1.0,2170,770872.2502018258
140000.0,3,1.0,7473,1.0,1060,284308.4064349523
690000.0,5,3.25,9075,2.0,2600,788900.6908231296
735000.0,4,2.5,2550,3.0,2470,588405.1109560663
515000.0,4,2.5,8765,2.0,2670,736469.0178222442
659000.0,3,2.5,384634,2.0,3090,749715.9961687638
450000.0,4,2.5,36254,1.0,1590,568940.1721184164
355000.0,2,1.0,4558,1.0,1250,357652.1450547392
845000.0,4,2.75,115434,2.0,4070,1073981.1153017364
635200.0,4,1.75,4240,1.0,920,320917.9100711661
267000.0,1,1.0,2480,1.0,800,276191.31973246345
327500.0,3,2.5,12027,2.0,2090,621985.1865649582
280000.0,2,1.0,5000,1.0,720,229531.28550161523
359000.0,5,1.75,6654,1.5,1940,489089.05120236886
330000.0,3,2.0,11233,1.0,1500,517415.9172698623
448500.0,3,2.25,7943,2.0,1830,528445.7001458979
1365000.0,3,2.5,6000,1.5,2090,674657.4965560343
359000.0,3,1.75,11520,1.0,2200,654365.5796059831
1350000.0,4,3.5,12495,2.0,3040,952681.8861536309
731500.0,4,2.5,4644,2.0,2650,732897.447980366
199950.0,1,1.5,4800,1.0,1048,399372.26932655444
515000.0,3,2.5,3837,2.0,2000,602752.0283066111
560000.0,4,2.0,4048,1.5,1380,413227.03279771406
370000.0,2,1.0,4960,1.0,940,282669.7290491659
257500.0,3,1.5,12500,1.0,1210,382997.6226332187
775000.0,2,1.0,3600,1.0,1010,299988.72044622863
315000.0,3,2.25,8480,1.0,2170,712050.6286746108
320000.0,3,2.5,1855,2.0,1570,499519.471681813
685650.0,3,1.75,16200,1.0,1490,481483.99671098817
665000.0,3,3.5,14155,2.0,1900,703456.7157264329
460000.0,3,2.0,7232,1.0,1320,475170.45330487733
276900.0,2,1.0,10096,1.0,1350,380109.7530979135
249950.0,3,1.75,10454,1.0,1320,442186.0872456216
505000.0,3,2.0,5460,1.0,1260,461222.44944005116
1275000.0,4,2.0,7861,1.0,1450,479799.120079636
340000.0,3,1.0,8100,1.0,920,250309.38927692614
995500.0,5,4.5,8465,2.0,4280,1354781.799731655
1400000.0,3,3.25,6073,2.0,3020,944384.1314224475
340000.0,3,1.75,7378,1.0,1460,476932.75220240885
169500.0,3,1.0,10023,1.0,1060,283529.92465184035
385000.0,4,1.5,10726,1.0,1380,398019.2089275088
364250.0,3,2.5,213879,2.0,2280,606244.1462130898
635000.0,2,2.5,8840,2.0,1780,574670.5267220652
134000.0,2,1.5,5000,2.0,980,254653.604550984
1310000.0,2,2.25,3938,2.0,2910,817041.9585718841
747000.0,3,1.5,5120,2.0,1710,404327.3862188456
415000.0,2,1.0,6807,1.0,1090,318328.2949644774
339000.0,3,2.0,8470,1.0,1329,476965.85388870264
385000.0,3,1.0,5950,1.0,880,241306.44134896668
833450.0,5,4.0,269345,2.0,3330,981728.3417680233
1393000.0,3,3.5,21578,2.0,3500,1087563.1673826876
560000.0,3,2.0,216777,1.0,2560,710637.8569548463
3600000.0,3,3.25,12431,2.0,3420,1039036.266058858
607500.0,5,1.75,6000,1.5,1420,363717.61490288697
230000.0,2,0.75,19703,1.0,890,234094.00811315875
490000.0,2,1.75,6265,1.0,1440,499014.96035725443
828500.0,4,2.5,35000,2.0,3720,982016.8307564496
304500.0,3,2.25,6930,1.0,1390,524167.1825134627
347500.0,3,1.0,12036,1.0,1550,401241.9897627969
1000000.0,4,1.75,11436,1.0,1780,526396.3358215396
539950.0,3,2.5,2183,3.0,1330,339798.7572246986
465000.0,4,2.25,20349,1.0,1340,481424.31174667494
169950.0,3,1.0,8470,1.0,840,230877.80325350424
290000.0,4,1.0,8184,1.5,1330,271887.2965031663
505657.0,4,2.75,8092,2.0,2790,797653.1521500526
625000.0,4,2.5,5520,2.0,2570,713311.3867482166
290000.0,2,1.5,1060,3.0,1076,177374.10023905165
350000.0,3,2.25,4400,1.5,2010,623826.5944411673
329500.0,4,2.5,7912,2.0,1820,531468.9855276425
537000.0,3,2.5,4800,1.0,1200,510936.42931993504
708000.0,5,2.0,10800,1.0,1910,563411.9220478872
253000.0,2,1.75,5000,1.0,860,359341.08201640024
650000.0,3,1.5,9000,1.0,1400,429947.8729188387
2538000.0,4,3.5,6000,2.0,2970,937760.9239355267
468000.0,2,1.75,7029,1.0,1250,452899.97523186746
465000.0,3,2.5,17936,2.0,2714,770866.5586133474
650000.0,3,1.75,9484,1.0,1290,435237.72941900516
359950.0,5,2.25,9432,2.0,2450,624566.3466985472
353500.0,2,1.0,8775,1.0,800,247697.4570187631
1321500.0,3,3.0,12968,2.0,2230,719506.9766076554
442000.0,4,1.5,12688,1.5,1960,486647.95684747765
1150000.0,5,4.25,8252,2.0,4010,1257645.7187067426
325000.0,3,1.75,13095,1.0,1780,552461.9459458783
269000.0,4,2.5,3608,2.0,2060,590738.8301921275
240000.0,3,1.0,12733,1.0,1270,333414.0002911343
245000.0,3,1.0,6000,1.0,1370,359617.78478943254
270000.0,4,1.5,8505,1.5,1730,432383.9114597641
685000.0,3,1.75,8955,1.0,1560,500599.60194868356
315000.0,2,1.0,7350,1.0,1120,325407.01032889343
389950.0,3,2.25,920,3.0,1580,368554.32150257117
675000.0,3,2.0,5973,1.0,1010,400695.1189627349
564000.0,4,1.75,6138,1.0,1260,402442.6522282426
572115.0,4,3.25,4838,2.0,3230,968900.4829594395
450000.0,3,2.5,13071,2.0,2730,776215.5057093608
3650000.0,6,4.75,19401,1.5,3910,1318355.5139781663
753000.0,3,2.25,9047,2.0,2290,639190.784924838
575000.0,2,1.0,6000,1.0,1090,318574.6615523093
448000.0,2,1.5,3780,1.0,890,334957.28688580083
871000.0,5,1.75,6150,1.0,1180,356548.27772760805
250000.0,3,2.0,32137,1.0,910,368559.30327712395
300000.0,4,2.5,3272,2.0,1914,555584.9071516069
440000.0,3,1.0,6556,1.5,1200,267563.6114152032
1875000.0,4,5.0,7440,2.0,3790,1327341.655163978
450000.0,2,1.0,4000,1.0,1070,314355.5780390663
535000.0,3,1.75,149410,1.5,2720,687008.3073730832
200000.0,1,1.5,1157,2.0,950,275154.4174138291
353000.0,4,1.75,9794,1.0,1780,526897.6170324689
466000.0,3,2.25,7279,1.0,1280,497497.52132531727
250000.0,3,1.5,14400,1.0,1310,406565.86468696594
1250000.0,4,3.25,24166,2.0,3310,982318.5261735523
1355000.0,3,1.5,4775,2.0,1880,445484.79864144145
459000.0,4,3.0,10000,2.0,2530,766285.8490437078
800000.0,4,2.5,7200,1.0,1380,527098.5765161028
366000.0,4,2.75,8093,1.0,1300,539508.0568351703
183000.0,3,1.75,9200,1.0,1330,444983.74584111926
810000.0,3,1.75,3300,2.0,1500,386172.33660266764
579000.0,4,1.5,6000,1.0,1520,433269.5973910155
340000.0,2,1.75,7208,1.0,940,377985.6382214447
745000.0,3,2.0,5001,1.0,1490,516903.6369600021
729032.0,4,2.5,12866,1.0,1780,621961.9697383617
505000.0,3,2.5,5957,2.0,2340,684208.9967555108
435000.0,4,2.0,4033,2.0,1630,422769.98496192513
479950.0,3,2.5,4984,1.0,1750,643695.8366882612
545000.0,3,1.75,51649,1.5,1700,470540.93671587843
245000.0,1,0.75,15000,1.0,380,138945.58871468206
237500.0,3,2.0,8960,1.0,1350,481887.40360537654
290000.0,3,1.0,8145,1.0,990,267199.45247584285
168000.0,2,1.5,3568,1.5,1220,363879.0104269716
1197000.0,4,2.5,4407,2.0,2620,725725.3148019766
559950.0,5,3.5,8193,2.0,2450,784948.2544079013
285000.0,4,1.75,7440,1.0,1290,409289.6547795676
575000.0,3,2.5,4780,2.0,2120,631442.0874550375
405000.0,3,1.0,10000,1.5,1460,329297.75006770506
314500.0,3,2.0,13303,1.0,2050,649599.5534056595
420000.0,4,2.0,10319,1.0,1270,435581.8075510746
470000.0,3,1.75,14800,1.0,1620,513304.17196934705
345000.0,3,1.75,7439,1.0,1520,491403.1020793543
310000.0,4,1.0,11075,1.5,1740,370012.68980802613
342000.0,3,3.0,1251,2.0,1040,435719.40516279347
330000.0,3,1.0,7620,1.0,1030,277019.04305863543
925000.0,3,2.5,7000,2.0,1840,563149.145922324
320000.0,3,1.0,6840,2.0,1780,356704.6308771571
310650.0,3,1.75,12408,1.0,1510,487471.3023763035
428040.0,3,2.5,9266,2.0,2150,637317.0562818807
405000.0,3,2.25,8307,1.0,1660,588947.1780711368
420000.0,2,1.0,5368,1.0,930,280130.3432334771
674950.0,3,2.75,92347,2.0,3510,972370.9479770814
607500.0,3,1.5,4700,1.0,1200,382964.0322982289
930000.0,4,2.5,4000,2.0,1430,438484.94768378296
275000.0,3,1.0,11090,1.0,1320,345989.73044099193
415000.0,2,1.0,5100,1.0,880,268138.01649049274
300000.0,3,2.5,6628,1.0,1250,522452.50838383916
1309500.0,4,4.5,13912,2.0,3600,1215482.6291327737
160000.0,2,1.0,9350,1.0,1180,339285.4087637001
1030000.0,4,2.5,4800,2.0,1960,566226.6408154855
133000.0,3,1.0,9115,1.0,980,264488.4953808957
299900.0,4,2.5,5730,2.0,2200,623898.6134592616
244000.0,3,1.75,8885,1.0,1440,471643.02727215656
207000.0,3,1.0,8995,1.0,1490,387681.3950676842
545000.0,3,2.5,136343,2.0,3550,936598.1257709169
326000.0,6,1.5,8400,1.0,1030,261066.1384371705
250000.0,5,1.75,7700,1.0,1290,382638.19895256544
315000.0,3,1.75,9629,1.0,1240,423119.31915585406
190000.0,3,1.0,8520,1.0,1090,291233.2571645884
536000.0,4,2.5,4831,2.0,2520,701447.5858211892
280000.0,1,1.0,1950,1.0,690,249790.0057942612
1735000.0,3,2.5,32093,1.5,2510,768114.450225888
509900.0,3,2.5,9053,2.0,3030,849887.0106816932
700000.0,3,1.0,4000,2.0,1570,306860.24254445307
342000.0,3,2.5,3540,2.0,1960,593183.383616257
344950.0,3,1.0,6712,1.0,1090,291785.21601316344
267000.0,3,2.5,10336,2.0,1690,525908.2776219659
583500.0,3,1.75,7800,1.0,1170,406773.88791814196
287000.0,2,1.0,6900,1.0,930,279662.6435896624
345000.0,3,1.75,7200,1.0,1090,387638.4302592763
255000.0,3,1.75,7810,1.0,1590,508193.6417248222
507500.0,3,1.75,9594,1.0,1190,411055.8605479815
699000.0,4,2.5,7312,2.0,2550,707934.6550304403
367500.0,4,2.0,16015,1.0,1960,600466.0753454566
382500.0,4,1.75,8700,1.0,1560,474105.3689131726
319000.0,2,1.5,847,3.0,1090,180819.88658701177
259950.0,2,2.0,649,2.0,720,257197.82404323257
1476000.0,3,2.25,22518,2.0,3240,864486.9934883269
280500.0,3,1.0,4541,1.0,890,244151.41942539864
530000.0,4,2.25,15086,2.0,1980,535915.3850343047
518000.0,4,2.5,7500,1.0,1220,488369.7307377175
425000.0,4,1.5,6180,1.5,1600,401700.9301786961
499990.0,3,1.75,8400,1.0,1060,380027.5996995804
240000.0,3,1.5,9477,1.0,1450,441876.39468430524
610000.0,4,3.5,5260,2.0,2910,923497.8639137708
705000.0,4,2.0,5001,2.0,1820,468356.21304874355
1130000.0,4,2.5,11200,2.0,2660,733310.8153107248
915000.0,4,2.5,35062,2.0,3400,904723.3835915669
625000.0,3,1.0,4800,1.0,900,246487.17882958328
580000.0,3,1.5,7190,2.0,1860,439917.87313900655
399950.0,3,1.75,5223,1.0,810,320626.77815547306
489950.0,2,1.0,4206,1.0,820,253921.97066269716
993000.0,4,2.0,14810,2.0,2490,627155.1780592306
675000.0,3,1.75,5913,1.0,1120,395275.82078569016
